hour,purchase bid,sell bid,mcv,fsv,mcp
23.0,6300.1,10711.525000000001,4496.275,4496.275,2570.3025
24.0,6295.05,13251.375,4907.3,4907.3,2446.4225
1.0,5748.2,16506.675,4765.475,4765.475,2049.9075000000003
2.0,6136.4,20176.949999999997,5271.349999999999,5271.349999999999,1883.9975
3.0,6087.775,21686.55,5319.125,5319.125,1780.655
4.0,6077.9,21906.3,5331.4,5331.4,1668.5275
5.0,6406.15,20863.375,5587.9,5587.9,1804.395
6.0,6472.725,17275.225,5506.025,5506.025,2047.67
7.0,9492.75,12856.5,8500.87,8500.8675,2819.88
8.0,12432.4,11435.475,10237.6,10237.6,3784.135
9.0,14352.6,9716.375,9674.175,9674.175,6350.3675
10.0,14642.1,9134.925,9124.925,9124.925,6500.6475
11.0,14550.925,9300.525,9284.325,9284.325,6350.3949999999995
12.0,12917.675,9327.225,8418.02,8418.02,4578.955
13.0,11580.925,9437.7,8374.7,8374.7,4500.33
14.0,9146.575,10711.45,7374.3075,7374.3075,3197.69
15.0,9900.975,12629.125,8355.48,8355.48,2929.6925
